DEPTH,CALI,GR,DT,RHOB,ILD,NPHI,lstrat,wellname
722.0,,12.7431,,,,,Andrew,211/18-9
722.5,,12.1631,,,,,Andrew,211/18-9
723.0,,12.2182,,,,,Andrew,211/18-9
723.5,,13.0888,,,,,Andrew,211/18-9
724.0,,14.6831,,,,,Andrew,211/18-9
724.5,,14.9766,,,,,Andrew,211/18-9
725.0,,15.0002,,,,,Andrew,211/18-9
725.5,,14.9262,,,,,Andrew,211/18-9
726.0,,14.8521,,,,,Andrew,211/18-9
726.5,,15.7325,,,,,Andrew,211/18-9
727.0,,17.6971,,,,,Andrew,211/18-9
727.5,,19.2444,,,,,Andrew,211/18-9
728.0,,19.2717,,,,,Andrew,211/18-9
728.5,,18.4213,,,,,Andrew,211/18-9
729.0,,17.5503,,,,,Andrew,211/18-9
729.5,,17.2373,,,,,Andrew,211/18-9
730.0,,16.9474,,,,,Andrew,211/18-9
730.5,,16.6508,,,,,Andrew,211/18-9
731.0,,17.1145,,,,,Andrew,211/18-9
731.5,,17.4146,,,,,Andrew,211/18-9
732.0,,19.2746,,,,,Andrew,211/18-9
732.5,,18.6267,,,,,Andrew,211/18-9
733.0,,16.6094,,,,,Andrew,211/18-9
733.5,,15.4112,,,,,Andrew,211/18-9
734.0,,15.1019,,,,,Andrew,211/18-9
734.5,,15.8581,,,,,Andrew,211/18-9
735.0,,14.9258,,,,,Andrew,211/18-9
735.5,,14.7162,,,,,Andrew,211/18-9
736.0,,15.3628,,,,,Andrew,211/18-9
736.5,,14.6298,,,,,Andrew,211/18-9
737.0,,13.0643,,,,,Andrew,211/18-9
737.5,,13.487,,,,,Andrew,211/18-9
738.0,,14.2853,,,,,Andrew,211/18-9
738.5,,14.9793,,,,,Andrew,211/18-9
739.0,,15.5784,,,,,Andrew,211/18-9
739.5,,16.2514,,,,,Andrew,211/18-9
740.0,,17.3675,,,,,Andrew,211/18-9
740.5,,19.0118,,,,,Andrew,211/18-9
