,Well_Number,Depth_MD,Pick_Name,x,y,FM,Group
2899,15/12/2001,746,Middle Mousa,0.308333,58.502778,,
2900,15/12/2001,970,Horda,0.308333,58.502778,,
2901,15/12/2001,1032,Balder,0.308333,58.502778,BEAULY,MORAY
2902,15/12/2001,1074,Beauly,0.308333,58.502778,BEAULY,MORAY
2903,15/12/2001,1122,Dornoch,0.308333,58.502778,DORNOCH,MORAY
2904,15/12/2001,1329,Sele,0.308333,58.502778,DORNOCH,MORAY
2905,15/12/2001,1471,Lista,0.308333,58.502778,LISTA,MONTROSE
2906,15/12/2001,2084,Maureen,0.308333,58.502778,MAUREEN,MONTROSE
2907,15/12/2001,2138,Ekofisk,0.308333,58.502778,EKOFISK,CHALK
2908,15/12/2001,2192,Upper Cretaceous Chalk,0.308333,58.502778,TOR,CHALK
2909,15/12/2001,2502,Rodby,0.308333,58.502778,,
2910,15/12/2001,2509,Sola,0.308333,58.502778,,
2911,15/12/2001,2518,Valhall,0.308333,58.502778,,
2912,15/12/2001,2560,Kimmeridge Clay,0.308333,58.502778,,
2913,15/12/2001,2631,Piper,0.308333,58.502778,,
2914,15/12/2001,2740,Sgiath,0.308333,58.502778,,
2915,15/12/2001,2783,Pentland,0.308333,58.502778,,
2916,15/12/2001,2905,Smith Bank,0.308333,58.502778,,
2917,15/12/2001,3009,Turbot Anhydrite,0.308333,58.502778,,
2968,15/13- 2,642,Horda,0.532242,58.556597,,
2969,15/13- 2,884,Middle Mousa,0.532242,58.556597,,
2970,15/13- 2,1108,Horda,0.532242,58.556597,,
2971,15/13- 2,1230,Balder,0.532242,58.556597,BEAULY,MORAY
2972,15/13- 2,1266,Beauly,0.532242,58.556597,BEAULY,MORAY
2973,15/13- 2,1378,Dornoch,0.532242,58.556597,DORNOCH,MORAY
2974,15/13- 2,1540,Sele,0.532242,58.556597,DORNOCH,MORAY
2975,15/13- 2,1575,Lista,0.532242,58.556597,LISTA,MONTROSE
2976,15/13- 2,2002,Maureen,0.532242,58.556597,MAUREEN,MONTROSE
2977,15/13- 2,2033,Ekofisk,0.532242,58.556597,EKOFISK,CHALK
2978,15/13- 2,2069,Upper Cretaceous Chalk,0.532242,58.556597,TOR,CHALK
2979,15/13- 2,2122,Rodby,0.532242,58.556597,,
2980,15/13- 2,2129,Kimmeridge Clay,0.532242,58.556597,,
2981,15/13- 2,2131,Piper,0.532242,58.556597,,
2982,15/13- 2,2144,Pentland,0.532242,58.556597,,
2983,15/13- 2,2235,Smith Bank,0.532242,58.556597,,
2984,15/13- 2,2347,Turbot Anhydrite,0.532242,58.556597,,
2985,15/13- 2,2464,Kupferschiefer,0.532242,58.556597,,
2986,15/13- 2,2467,Carboniferous Undifferentiated,0.532242,58.556597,,
2987,15/13- 3,625,Horda,0.498966,58.570784,,
2988,15/13- 3,760,Middle Mousa,0.498966,58.570784,,
2989,15/13- 3,1066,Horda,0.498966,58.570784,,
2990,15/13- 3,1120,Balder,0.498966,58.570784,BEAULY,MORAY
2991,15/13- 3,1196,Dornoch,0.498966,58.570784,DORNOCH,MORAY
2992,15/13- 3,1557,Lista,0.498966,58.570784,LISTA,MONTROSE
2993,15/13- 3,2036,Maureen,0.498966,58.570784,MAUREEN,MONTROSE
2994,15/13- 3,2087,Upper Cretaceous Chalk,0.498966,58.570784,TOR,CHALK
2995,15/13- 3,2162,Rodby,0.498966,58.570784,,
2996,15/13- 3,2173,Kimmeridge Clay,0.498966,58.570784,,
2997,15/13- 3,2177,Piper,0.498966,58.570784,,
2998,15/13- 3,2228,Pentland,0.498966,58.570784,,
2999,15/13- 3,2247,Smith Bank,0.498966,58.570784,,
3000,15/13- 3,2352,Turbot Anhydrite,0.498966,58.570784,,
3019,15/13a- 4Z,1547,Dornoch,0.561278,58.557111,DORNOCH,MORAY
3020,15/13a- 4Z,1787,Lista,0.561278,58.557111,LISTA,MONTROSE
3021,15/13a- 4Z,2028,Maureen,0.561278,58.557111,MAUREEN,MONTROSE
3022,15/13a- 4Z,2078,Ekofisk,0.561278,58.557111,EKOFISK,CHALK
3023,15/13a- 4Z,2144,Upper Cretaceous Chalk,0.561278,58.557111,TOR,CHALK
3024,15/13a- 4Z,2221,Piper,0.561278,58.557111,,
3025,15/13a- 4Z,2223,Pentland,0.561278,58.557111,,
3026,15/13a- 4Z,2315,Smith Bank,0.561278,58.557111,,
3229,15/16- 5,588,Horda,0.098481,58.372842,,
3230,15/16- 5,911,Middle Mousa,0.098481,58.372842,,
3231,15/16- 5,991,Horda,0.098481,58.372842,,
3232,15/16- 5,1058,Beauly,0.098481,58.372842,BEAULY,MORAY
3233,15/16- 5,1155,Dornoch,0.098481,58.372842,DORNOCH,MORAY
3234,15/16- 5,1265,Sele,0.098481,58.372842,DORNOCH,MORAY
3235,15/16- 5,1613,Lista,0.098481,58.372842,LISTA,MONTROSE
3236,15/16- 5,1899,Maureen,0.098481,58.372842,MAUREEN,MONTROSE
3237,15/16- 5,2268,Ekofisk,0.098481,58.372842,EKOFISK,CHALK
3238,15/16- 5,2286,Upper Cretaceous Chalk,0.098481,58.372842,TOR,CHALK
3239,15/16- 5,2908,Rodby,0.098481,58.372842,,
3240,15/16- 5,2961,Sola,0.098481,58.372842,,
3241,15/16- 5,3130,Valhall,0.098481,58.372842,,
3242,15/16- 5,3476,Kimmeridge Clay,0.098481,58.372842,,
3243,15/16- 5,3579,Piper,0.098481,58.372842,,
3244,15/16- 5,3653,Sgiath,0.098481,58.372842,,
3245,15/16- 5,3655,Pentland,0.098481,58.372842,,
3246,15/16- 5,3688,Smith Bank,0.098481,58.372842,,
3334,15/16b- 20,170,Horda,0.115931,58.389639,,
3335,15/16b- 20,743,Middle Mousa,0.115931,58.389639,,
3336,15/16b- 20,876,Horda,0.115931,58.389639,,
3337,15/16b- 20,1075,Balder,0.115931,58.389639,BEAULY,MORAY
3338,15/16b- 20,1130,Dornoch,0.115931,58.389639,DORNOCH,MORAY
3339,15/16b- 20,1278,Sele,0.115931,58.389639,DORNOCH,MORAY
3340,15/16b- 20,1615,Lista,0.115931,58.389639,LISTA,MONTROSE
3341,15/16b- 20,2201,Maureen,0.115931,58.389639,MAUREEN,MONTROSE
3342,15/16b- 20,2266,Ekofisk,0.115931,58.389639,EKOFISK,CHALK
3343,15/16b- 20,2296,Tor,0.115931,58.389639,TOR,CHALK
3344,15/16b- 20,2451,Mackerel,0.115931,58.389639,,
3345,15/16b- 20,2859,Herring,0.115931,58.389639,,
3346,15/16b- 20,2944,Hidra,0.115931,58.389639,,
3347,15/16b- 20,3029,Rodby,0.115931,58.389639,,
