,wellname,GR,DT,RHOB,ILD,Top,TopX,TopY
264,14/20-1,11.7908,,,,Stronsay,,
265,14/20-1,11.4859,,,,Stronsay,,
266,14/20-1,11.3851,,,,Stronsay,,
267,14/20-1,11.1823,,,,Stronsay,,
268,14/20-1,10.9619,,,,Stronsay,,
269,14/20-1,10.3764,,,,Stronsay,,
270,14/20-1,10.1406,,,,Stronsay,,
271,14/20-1,9.7707,,,,Stronsay,,
272,14/20-1,9.568,,,,Stronsay,,
273,14/20-1,10.0657,,,,Stronsay,,
274,14/20-1,10.6737,,,,Stronsay,,
275,14/20-1,10.9609,,,,Stronsay,,
276,14/20-1,11.4723,,,,Stronsay,,
277,14/20-1,11.9562,,,,Stronsay,,
278,14/20-1,12.1536,,,,Stronsay,,
279,14/20-1,12.7512,,,,Stronsay,,
280,14/20-1,13.298,,,,Stronsay,,
281,14/20-1,13.5461,,,,Stronsay,,
282,14/20-1,13.7939,,,,Stronsay,,
283,14/20-1,13.8297,,,,Stronsay,,
284,14/20-1,13.7381,,,,Stronsay,,
285,14/20-1,13.1353,,,,Stronsay,,
286,14/20-1,12.5267,,,,Stronsay,,
287,14/20-1,12.3295,,,,Stronsay,,
288,14/20-1,11.9267,,,,Stronsay,,
289,14/20-1,11.7024,,,,Stronsay,,
290,14/20-1,11.2451,,,,Stronsay,,
291,14/20-1,10.9185,,,,Stronsay,,
292,14/20-1,10.3775,,,,Stronsay,,
293,14/20-1,9.769,,,,Stronsay,,
294,14/20-1,9.7105,,,,Stronsay,,
295,14/20-1,9.5078,,,,Stronsay,,
296,14/20-1,9.6236,,,,Stronsay,,
297,14/20-1,10.1026,,,,Stronsay,,
298,14/20-1,10.1,,,,Stronsay,,
299,14/20-1,10.796,,,,Stronsay,,
300,14/20-1,11.292,,,,Stronsay,,
301,14/20-1,11.5698,,,,Stronsay,,
302,14/20-1,11.4492,,,,Stronsay,,
303,14/20-1,11.1878,,,,Stronsay,,
304,14/20-1,11.076,,,,Stronsay,,
305,14/20-1,11.072,,,,Stronsay,,
306,14/20-1,10.8126,,,,Stronsay,,
307,14/20-1,10.9514,,,,Stronsay,,
308,14/20-1,10.9775,,,,Stronsay,,
309,14/20-1,10.956,,,,Stronsay,,
310,14/20-1,10.8303,,,,Stronsay,,
311,14/20-1,10.848,,,,Stronsay,,
312,14/20-1,10.9192,,,,Stronsay,,
313,14/20-1,11.24,,,,Stronsay,,
314,14/20-1,11.5532,,,,Stronsay,,
315,14/20-1,11.232,,,,Stronsay,,
316,14/20-1,10.928,,,,Stronsay,,
317,14/20-1,10.724,,,,Stronsay,,
318,14/20-1,10.5828,,,,Stronsay,,
319,14/20-1,10.416,,,,Stronsay,,
320,14/20-1,10.212,,,,Stronsay,,
321,14/20-1,10.208,,,,Stronsay,,
322,14/20-1,10.204,,,,Stronsay,,
323,14/20-1,10.4,,,,Stronsay,,
324,14/20-1,10.594,,,,Stronsay,,
325,14/20-1,10.792,,,,Stronsay,,
326,14/20-1,10.788,,,,Middle Mousa,,
327,14/20-1,11.0963,,,,Middle Mousa,,
328,14/20-1,11.1972,,,,Middle Mousa,,
329,14/20-1,11.276,,,,Middle Mousa,,
330,14/20-1,11.1429,,,,Middle Mousa,,
331,14/20-1,10.7352,,,,Middle Mousa,,
332,14/20-1,10.2255,,,,Middle Mousa,,
333,14/20-1,9.76,,,,Middle Mousa,,
334,14/20-1,9.5412,,,,Middle Mousa,,
