OBJECTID,WELLREGNO,SOURCE_OF_WELL,LR_WELLTOPS,GEOSTRAT_CG_AGES,GEOSTRAT_CG_DSB,GEOSTRAT_CG_FORMATIONS,GEOSTRAT_CG_MEMBERS,GEOSTRAT_CG_SEQUENCES,CGG_COREANALYSIS,CGG_GEOTHERMAL,CGG_PRESSURE,CGG_LOGS,JDWL_2016,LR_MEMBERS,LR_MEMBERS_SAND,LR_FORMATIONS,LR_FORMATIONS_SAND,LR_GROUPS,LR_GROUPS_SAND,LR_DST,LR_HO,SHELL_OIL_DATA,SHELL_GAS_DATA,SHELL_ROCK_DATA,SHELL_ROCK_EXTRACT,APT_WOSI,TNO_HYPOLIAS,Heriot Watt Well Summaries,PGS_RESERVOIR,IGI_21CXRM,OGA_WELLREP_2016,DURHAM_NAWAB,x,y
301,14/28b- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.5497709750000013,57.999687306
305,14/29a- 3,OGA Offshore Wells,Yes,,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,-0.36283111799997414,58.000571686
306,14/29a- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,,,,,,,,,-0.22157740900001954,58.000643457000024
308,14/30- 1,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.1809151300000167,58.13063469999997
310,14/30a- 4,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,-0.07444859899999301,58.069730811
312,14/30b- 3,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,-0.05333478699998295,58.01894322499999
315,15/11- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,0.07493294900001501,58.50076546899999
319,15/11b- 5,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.1820290640000053,58.539343229999986
321,15/12- 1,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,0.30668911599997273,58.50215741599999
328,15/13- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,0.5306017170000246,58.55598118900002
329,15/13- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,,,,,,,,,,0.49732416900002363,58.57016829899999
330,15/13a- 10,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,0.46505923299997676,58.505590514000005
332,15/13a- 4Z,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,0.5596384799999896,58.556495568
333,15/13a- 7Z,OGA Offshore Wells,Yes,,,,,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,0.5315913809999984,58.56394349499999
346,14/19- 15,OGA Offshore Wells,Yes,,,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.31366531600002645,58.432673088
349,14/19- 18,OGA Offshore Wells,Yes,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,,,,,,,,,,-0.31969521100000975,58.42687379900002
350,14/19- 2,OGA Offshore Wells,Yes,,,,,,,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,-0.2732954580000069,58.43739776899997
351,14/19- 29,OGA Offshore Wells,Yes,,,,,,Yes,,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.362411236000014,58.468117775999985
352,14/19- 3,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,,-0.27632407300001205,58.44906415999998
354,14/19- 4,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,-0.2244881560000067,58.43734238100001
355,14/19- 5,OGA Offshore Wells,Yes,,,,,,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,,,,,,,,,,,,-0.3123517959999731,58.443925518000015
